"name","full_name","url","description"
"demons","renaak/demons","https://github.com/renaak/demons.git","Demons of Dex"
"colorForth","narke/colorForth","https://github.com/narke/colorForth.git","Native 32-bit colorForth for PCs, Bochs and Qemu."
"pcbasic","robhagemans/pcbasic","https://github.com/robhagemans/pcbasic.git","PC-BASIC - A free, cross-platform emulator for the GW-BASIC family of interpreters"
"py8086","julienaubert/py8086","https://github.com/julienaubert/py8086.git","A (very) basic 8086 emulator written in python - just for fun."
"pcjs","jeffpar/pcjs","https://github.com/jeffpar/pcjs.git","The original IBM PC and other classic computers emulated in JavaScript"
"js13kGamePak","codegolf/js13kGamePak","https://github.com/codegolf/js13kGamePak.git","26+ games in one (js13k2016)"
"vms-moria","dungeons-of-moria/vms-moria","https://github.com/dungeons-of-moria/vms-moria.git","Moria - VMS Pascal source code"
"umoria","dungeons-of-moria/umoria","https://github.com/dungeons-of-moria/umoria.git","Moria: a roguelike Dungeon Crawler game | Umoria Source Code"
"boss-beyond-moria","dungeons-of-moria/boss-beyond-moria","https://github.com/dungeons-of-moria/boss-beyond-moria.git","BOSS: Beyond Moria - VMS Pascal source code"
"minilisp","rui314/minilisp","https://github.com/rui314/minilisp.git","A readable lisp in less than 1k lines of C"
"jslinux-deobfuscated","levskaya/jslinux-deobfuscated","https://github.com/levskaya/jslinux-deobfuscated.git","JSLinux rewritten to be human readable, hand deobfuscated and annotated."
"lolcat","busyloop/lolcat","https://github.com/busyloop/lolcat.git","Rainbows and unicorns!"
"lolcat","tehmaze/lolcat","https://github.com/tehmaze/lolcat.git","Rainbows and unicorns (without Ruby! jay!)"
"tty-clock","xorg62/tty-clock","https://github.com/xorg62/tty-clock.git","Clock using lib ncurses"
"6502","jefftranter/6502","https://github.com/jefftranter/6502.git","Code for the 6502 microprocessor, mostly for the Replica 1 computer."
"8080","jefftranter/8080","https://github.com/jefftranter/8080.git","Code and documents related to the Intel 8080 processor and the Briel 8800 replica of the Altair 8800"
"Z80","jefftranter/Z80","https://github.com/jefftranter/Z80.git","Code related to the Zilog Z80 microprocessor."
"tinyrenderer","ssloy/tinyrenderer","https://github.com/ssloy/tinyrenderer.git","Support c++ code for a short computer graphics course"
"cbmbasic","mist64/cbmbasic","https://github.com/mist64/cbmbasic.git","cbmbasic, a portable version of Commodore's version of Microsoft BASIC 6502 as found on the Commodore 64"
"thewave","mist64/thewave","https://github.com/mist64/thewave.git","The Wave Web Browser for C64/C128 GEOS Wheels"
"c64rom","mist64/c64rom","https://github.com/mist64/c64rom.git","Fully Commented Commodore 64 ROM Disassembly"
"final_cartridge","mist64/final_cartridge","https://github.com/mist64/final_cartridge.git",""
"pucrunch","mist64/pucrunch","https://github.com/mist64/pucrunch.git","pucrunch, an Optimizing Hybrid LZ77 RLE Data Compression Program for C64/C128/VIC-20/Plus4"
"mxass","mist64/mxass","https://github.com/mist64/mxass.git","mxass, a cross assembler that targets Commodore 64-like platforms (6502/65816/Z80)"
"msdos1","mist64/msdos1","https://github.com/mist64/msdos1.git","A collection of disassembled and commented source of parts of MS-DOS 1.0"
"ctools","mist64/ctools","https://github.com/mist64/ctools.git","ctools, programs for accessing C64 and C128 CP/M disk images (*.D64)."
"perfect6502","mist64/perfect6502","https://github.com/mist64/perfect6502.git","perfect6502, a MOS 6502 CPU emulator that performs a simulation of the original NMOS 6502 netlist"
"awk-raycaster","TheMozg/awk-raycaster","https://github.com/TheMozg/awk-raycaster.git","Pseudo-3D shooter written completely in awk using raycasting technique"
"plan9port","9fans/plan9port","https://github.com/9fans/plan9port.git","Plan 9 from User Space"
"lcc","drh/lcc","https://github.com/drh/lcc.git","The lcc retargetable ANSI C compiler"
"2048","gabrielecirulli/2048","https://github.com/gabrielecirulli/2048.git","A small clone of 1024 (https://play.google.com/store/apps/details?id=com.veewo.a1024)"
"ld38-smalltrek","ftsf/ld38-smalltrek","https://github.com/ftsf/ld38-smalltrek.git",""
"Infinite-Adaptive-Mario","bnoordhuis/Infinite-Adaptive-Mario","https://github.com/bnoordhuis/Infinite-Adaptive-Mario.git","Maven-ized version of Infinite Adaptive Mario."
"mario-astar-robinbaumgarten","jumoel/mario-astar-robinbaumgarten","https://github.com/jumoel/mario-astar-robinbaumgarten.git","A* Mario AI as used by Robin Baumgarten for the CIG 2009 Mario AI competition"
"Infinite-Mario-Bros","cflewis/Infinite-Mario-Bros","https://github.com/cflewis/Infinite-Mario-Bros.git","A more compatible version of Infinite Mario"
"mariohtml5","robertkleffner/mariohtml5","https://github.com/robertkleffner/mariohtml5.git","Infinite Mario in HTML5 JavaScript - using Canvas and Audio elements"
"Infinite-Mario","BillyWM/Infinite-Mario","https://github.com/BillyWM/Infinite-Mario.git","Tweaks to Flash ver. of Notch's Infinite Mario Bros: Working score, levels that stay after death, etc"
"CubeTwister","wrandelshofer/CubeTwister","https://github.com/wrandelshofer/CubeTwister.git","Companion software for Rubik's Cube like puzzles."
"Assembler64","dmarlowe69/Assembler64","https://github.com/dmarlowe69/Assembler64.git","Commodore 64 Macro Development System Assembler"
"simh","simh/simh","https://github.com/simh/simh.git","The Computer History Simulation Project "
"OberonEmulator","schierlm/OberonEmulator","https://github.com/schierlm/OberonEmulator.git","Project Oberon emulator in JavaScript and Java"
"project-norebo","pdewacht/project-norebo","https://github.com/pdewacht/project-norebo.git","Project Norebo"
"eulex","davazp/eulex","https://github.com/davazp/eulex.git","A straightforward standalone Forth implementation for x86."
"symon","sethm/symon","https://github.com/sethm/symon.git","A MOS Technologies 6502 System Simulator"
"FortApocalypse","heyigor/FortApocalypse","https://github.com/heyigor/FortApocalypse.git","The original Atari 400/800 6502 assembly code for the classic game Fort Apocalypse."
"naken_asm","mikeakohn/naken_asm","https://github.com/mikeakohn/naken_asm.git","Assembler for MSP430, dsPIC, ARM, MIPS, 65xx, 68000, 8051/8052, Atmel AVR8, and others."
"u4remastered","MagerValp/u4remastered","https://github.com/MagerValp/u4remastered.git","Ultima IV Remastered for the C64"
"LaiNES","AndreaOrru/LaiNES","https://github.com/AndreaOrru/LaiNES.git","Cycle-accurate NES emulator in ~1000 lines of code"
"zztjs","bstreiff/zztjs","https://github.com/bstreiff/zztjs.git","A ZZT engine implemented in JavaScript"
"oberon-risc-emu","pdewacht/oberon-risc-emu","https://github.com/pdewacht/oberon-risc-emu.git","Emulator for the Oberon RISC machine"
"js6502","6502/js6502","https://github.com/6502/js6502.git","Javascript 6502 emulator"
"blessed-tetris","kirjavascript/blessed-tetris","https://github.com/kirjavascript/blessed-tetris.git","quick and dirty tetris clone"
"telnetris","hanzi/telnetris","https://github.com/hanzi/telnetris.git","a small Telnet server that offers a game of Tetris to its clients"
"history-of-lisp-editing","shaunlebron/history-of-lisp-editing","https://github.com/shaunlebron/history-of-lisp-editing.git","paren UX in the early days of Lisp"
"CymonsGames","cymonsgames/CymonsGames","https://github.com/cymonsgames/CymonsGames.git","All the programs from Cymon's Games, a repository of C/C++ programs inspired by Type-Ins of old. lots of great educational material."
"s","rain-1/s","https://github.com/rain-1/s.git","the s shell"
"cbmsrc","mist64/cbmsrc","https://github.com/mist64/cbmsrc.git","Original source code of various Commodore computers and peripherals."
"snake-puzzle","ncw/snake-puzzle","https://github.com/ncw/snake-puzzle.git","A solver for the Snake Puzzle using python with a Jupyter notebook"
"fr_public","farbrausch/fr_public","https://github.com/farbrausch/fr_public.git","Farbrausch demo tools 2001-2011"
"Patchouli-Compiler","congdm/Patchouli-Compiler","https://github.com/congdm/Patchouli-Compiler.git","An Oberon-07 compiler for Intel 64 (AMD64) architecture"
"fbird","nanochess/fbird","https://github.com/nanochess/fbird.git","A boot sector game in text mode"
"2048","m4ns0ur/2048","https://github.com/m4ns0ur/2048.git","Game 2048 in Go lang"
"trs80mc10","jggames/trs80mc10","https://github.com/jggames/trs80mc10.git","Games and other software for the TRS-80 MC-10"
"neohabitat","frandallfarmer/neohabitat","https://github.com/frandallfarmer/neohabitat.git","Repository for the NeoClassical Habitat Server Project"
"Forsythia","johnalexandergreene/Forsythia","https://github.com/johnalexandergreene/Forsythia.git","Forsythia fractal"
"editor","jmigpin/editor","https://github.com/jmigpin/editor.git","Source code editor in pure Go."
"markdownd","aerth/markdownd","https://github.com/aerth/markdownd.git","simple markdown server (no indexing, no symlinks) report bugs: https://github.com/aerth/markdownd/issues"
"Chip-8-Emulator","sarbajitsaha/Chip-8-Emulator","https://github.com/sarbajitsaha/Chip-8-Emulator.git","A simple Chip 8 Emulator written in C++"
"awesome-go","avelino/awesome-go","https://github.com/avelino/awesome-go.git","A curated list of awesome Go frameworks, libraries and software"
"zenpen","tholman/zenpen","https://github.com/tholman/zenpen.git","A minimalist writing zone."
"Mezzano","froggey/Mezzano","https://github.com/froggey/Mezzano.git","An operating system written in Common Lisp"
"eburp","pents90/eburp","https://github.com/pents90/eburp.git","The Eight-Bit Universal Role Playing Engine -- the technical masterpiece behind the hit RPG ""Gurk III""!"
"pixel","faiface/pixel","https://github.com/faiface/pixel.git","A hand-crafted 2D game library in Go"
"SIDSpectro","s-macke/SIDSpectro","https://github.com/s-macke/SIDSpectro.git","Online SID player with spectrum analyzer"
"MysticSword1995","gatechgrad/MysticSword1995","https://github.com/gatechgrad/MysticSword1995.git","QBasic code for one of the first games that I developed"
"chip8","xem/chip8","https://github.com/xem/chip8.git","A code-golfed chip8 emulator in JS"
"oberonjs","vladfolts/oberonjs","https://github.com/vladfolts/oberonjs.git","Oberon 07 compiler (written in JavaScript and translates to JavaScript)"
"C64_Breakout","Sausage-Toes/C64_Breakout","https://github.com/Sausage-Toes/C64_Breakout.git","Commodore 64 Classic Breakout Video Game"
"mazesolving","mikepound/mazesolving","https://github.com/mikepound/mazesolving.git","A variety of algorithms to solve mazes from an input image"
"selfie","cksystemsteaching/selfie","https://github.com/cksystemsteaching/selfie.git","An educational software system of a tiny self-compiling C compiler, a tiny self-executing MIPS emulator, and a tiny self-hosting MIPS hypervisor."
"sc-im","andmarti1424/sc-im","https://github.com/andmarti1424/sc-im.git","SC-IM - Spreadsheet Calculator Improvised -- An ncurses spreadsheet program for terminal"
"visidata","saulpw/visidata","https://github.com/saulpw/visidata.git","A terminal spreadsheet multitool for discovering and arranging data"
"os01","tuhdo/os01","https://github.com/tuhdo/os01.git","Bootstrap yourself to write an OS from scratch. A book for self-learner."
"mtm","deadpixi/mtm","https://github.com/deadpixi/mtm.git","Perhaps the smallest useful terminal multiplexer in the world."
"Kaverns","atari800/Kaverns","https://github.com/atari800/Kaverns.git","Kaverns Of Kfest, 2016 KansasFest Hackfest winner (6502 assembly language: Apple // and Atari 8-bit)"
"sundog","laanwj/sundog","https://github.com/laanwj/sundog.git","A port of the Atari ST game SunDog: Frozen Legacy (1984) by FTL software "
"axle","codyd51/axle","https://github.com/codyd51/axle.git","a UNIX-like kernel + userspace"
"ebiten","hajimehoshi/ebiten","https://github.com/hajimehoshi/ebiten.git","A simple 2D game library in Go"
"supermon64","jblang/supermon64","https://github.com/jblang/supermon64.git","Original sources and binaries for Supermon+64 V1.2 by Jim Butterfield"
"Atomchess-6502","nanochess/Atomchess-6502","https://github.com/nanochess/Atomchess-6502.git","Toledo Atomchess for Atari VCS/2600"
"doomrl","ChaosForge/doomrl","https://github.com/ChaosForge/doomrl.git","D**m, the Roguelike"
"ewm","st3fan/ewm","https://github.com/st3fan/ewm.git","Emulated Woz Machine"
"DIV-Games-Studio","DIVGAMES/DIV-Games-Studio","https://github.com/DIVGAMES/DIV-Games-Studio.git","Complete cross platform games development package, originally for DOS but now available on modern platforms. "
"middleman","simonwittber/middleman","https://github.com/simonwittber/middleman.git","A Pub/Sub & Request/Response WebSocket Server, in Go."
"green-mahjong","danbeck/green-mahjong","https://github.com/danbeck/green-mahjong.git","Solitaire mahjong game with several themes and layouts. For android/iphone/ubuntu/firefoxos"
"SqueakJS","bertfreudenberg/SqueakJS","https://github.com/bertfreudenberg/SqueakJS.git","A Squeak VM in Javascript"
"markdown-it","markdown-it/markdown-it","https://github.com/markdown-it/markdown-it.git","Markdown parser, done right. 100% CommonMark support, extensions, syntax plugins & high speed"
"SID-monitor","2bt/SID-monitor","https://github.com/2bt/SID-monitor.git","Visualise SID melodies and hum along."
"termbox-go","nsf/termbox-go","https://github.com/nsf/termbox-go.git","Pure Go termbox implementation"
"js-stack-from-scratch","verekia/js-stack-from-scratch","https://github.com/verekia/js-stack-from-scratch.git","🛠️⚡ Step-by-step tutorial to build a modern JavaScript stack."
"os","minoca/os","https://github.com/minoca/os.git","Minoca operating system"
"games","leereilly/games","https://github.com/leereilly/games.git",":video_game: A list of popular/awesome videos games, add-ons, maps, etc. hosted on GitHub. Any genre. Any platform. Any engine."
"SAM","s-macke/SAM","https://github.com/s-macke/SAM.git","Software Automatic Mouth - Tiny Speech Synthesizer "
"decus-vax-games","mtklr/decus-vax-games","https://github.com/mtklr/decus-vax-games.git","Digital Equipment Computer User Society VAX games archive"
"cubr","bluquar/cubr","https://github.com/bluquar/cubr.git","Rubik's Cube Solver -- Uses OpenCV"
"leonardo","ttencate/leonardo","https://github.com/ttencate/leonardo.git","An entry for the Ludum Dare 36 compo: http://leonardo.frozenfractal.com"
"httpstat","davecheney/httpstat","https://github.com/davecheney/httpstat.git","It's like curl -v, with colours. "
"Sporth","PaulBatchelor/Sporth","https://github.com/PaulBatchelor/Sporth.git","A small stack-based audio language."
"v86","copy/v86","https://github.com/copy/v86.git","x86 virtualization in JavaScript, running in your browser and NodeJS"
"lbForth","larsbrinkhoff/lbForth","https://github.com/larsbrinkhoff/lbForth.git","Self-hosting metacompiled Forth, bootstrapping from a few lines of C; targets Linux, Windows, ARM, RISC-V, 68000, PDP-11, asm.js."
"bgame","thebracket/bgame","https://github.com/thebracket/bgame.git","Black Future - sort of like Dwarf Fortress in space."
"Distripitor","FozzTexx/Distripitor","https://github.com/FozzTexx/Distripitor.git","Program to create barcodes in the Cauzin Softstrip format"
"Oscar","doegox/Oscar","https://github.com/doegox/Oscar.git","The DATABAR Oscar was an optical bar code scanner used to input program code into computers such as Atari 1200XL/1400XL, Atari 400/600/800, Commodore Pet, Commodore VIC 20/64, TI99/4A, TRS 80."
"micro","zyedidia/micro","https://github.com/zyedidia/micro.git","A modern and intuitive terminal-based text editor"
"edwood","rjkroege/edwood","https://github.com/rjkroege/edwood.git","Go version of Plan9 Acme Editor"
"a","as/a","https://github.com/as/a.git","A graphical text editor"
"geos","mist64/geos","https://github.com/mist64/geos.git","Source code of GEOS 2.0 for the Commodore 64 and 128"
"pico8","lvictorino/pico8","https://github.com/lvictorino/pico8.git","Repository containing some of my Pico-8 experiments."
"minipascal","soegaard/minipascal","https://github.com/soegaard/minipascal.git","MiniPacal implemented in Racket"
"DroidQuest","ThomasFooteDQ/DroidQuest","https://github.com/ThomasFooteDQ/DroidQuest.git","A Java recreation of the classic game Robot Odyssey"
"synthi-js","AlexNisnevich/synthi-js","https://github.com/AlexNisnevich/synthi-js.git","A JavaScript emulator of the legendary EMS Synthi A synthesizer."
"typeset","bramstein/typeset","https://github.com/bramstein/typeset.git","TeX line breaking algorithm in JavaScript"
"tiny-web-server","shenfeng/tiny-web-server","https://github.com/shenfeng/tiny-web-server.git","a tiny web server in C, for daily use."
"sshmux","Russell91/sshmux","https://github.com/Russell91/sshmux.git","Persistent ssh sessions with tmux"
"amiga2000-gfxcard","mntmn/amiga2000-gfxcard","https://github.com/mntmn/amiga2000-gfxcard.git","MNT VA2000, an Open Source Amiga Graphics Card (Zorro II/III), written in Verilog"
"ChezScheme","cisco/ChezScheme","https://github.com/cisco/ChezScheme.git","Chez Scheme "
"llvm-p86","john-tornblom/llvm-p86","https://github.com/john-tornblom/llvm-p86.git","A compiler and mutation testing framework for the programming language Pascal-86"
"DunGen","LeonardBesson/DunGen","https://github.com/LeonardBesson/DunGen.git","Java procedural generation of dungeons"
"jonesforth","kristopherjohnson/jonesforth","https://github.com/kristopherjohnson/jonesforth.git","Mirror of git://git.annexia.org/git/jonesforth.git"
"cl-6502","kingcons/cl-6502","https://github.com/kingcons/cl-6502.git","A 6502 emulator in Lisp."
"SadConsole","Thraka/SadConsole","https://github.com/Thraka/SadConsole.git","A .NET ascii/ansi console engine written in C# for MonoGame and XNA. Create your own text roguelike (or other) games!"
"flippybit-vcs","jnutting/flippybit-vcs","https://github.com/jnutting/flippybit-vcs.git","Atari VCS port of FlippyBit"
"WeeGUI","blondie7575/WeeGUI","https://github.com/blondie7575/WeeGUI.git","A compact and easy to use GUI library for 8-bit Apple ][ computers"
"islandGenerator","alxgiraud/islandGenerator","https://github.com/alxgiraud/islandGenerator.git","Procedural generation of SVG islands using Perlin Noise and gradients in a grid of hexagons."
"stb","nothings/stb","https://github.com/nothings/stb.git","stb single-file public domain libraries for C/C++"
"ultimaCastleGen","slashman/ultimaCastleGen","https://github.com/slashman/ultimaCastleGen.git","Generator for castle maps inspired by Ultima V"
"jumper-bot","kamranahmedse/jumper-bot","https://github.com/kamranahmedse/jumper-bot.git","A game developed using HTML-5 canvas and Javascript"
"rogue.js","mad4j/rogue.js","https://github.com/mad4j/rogue.js.git","JavaScript porting of original Rogue source code using Emscripten"
"mazeman","convenient/mazeman","https://github.com/convenient/mazeman.git","MazeMan - A procedurally generated dungeon game for the Nintendo DS"
"uMario_Jakowski","jakowskidev/uMario_Jakowski","https://github.com/jakowskidev/uMario_Jakowski.git","uMario C++/SDL2 Game by Łykasz Jakowski"
"miny","spacecamper/miny","https://github.com/spacecamper/miny.git","A minesweeper clone for Linux."
"splatood","SplatooD/splatood","https://github.com/SplatooD/splatood.git","SplatooD: A Splatoon demake for NES"
"java_grinder","mikeakohn/java_grinder","https://github.com/mikeakohn/java_grinder.git","Compile Java byte-code to native CPU's."
"DustRacing2D","juzzlin/DustRacing2D","https://github.com/juzzlin/DustRacing2D.git","Dust Racing 2D is a traditional top-down car racing game including a level editor."
"toaruos","klange/toaruos","https://github.com/klange/toaruos.git","Hobby kernel + userspace, built mostly from scratch. Composited GUI, dynamically linked ELF binaries, networking, Python applications, and more."
"codegym","PencilCode/codegym","https://github.com/PencilCode/codegym.git","The Pencil Code Gym: a website of creative examples that frame pencilcode."
"jquery-turtle","PencilCode/jquery-turtle","https://github.com/PencilCode/jquery-turtle.git","Turtle Graphics for JQuery"
"pencilcode","PencilCode/pencilcode","https://github.com/PencilCode/pencilcode.git","An online IDE for kids: pencilcode.net."
"vexflow","0xfe/vexflow","https://github.com/0xfe/vexflow.git","A JavaScript library for rendering music notation and guitar tablature."
"msbasic","mist64/msbasic","https://github.com/mist64/msbasic.git","Microsoft BASIC for 6502 (Commodore, Apple, KIM-1, AIM-65, OSI, ...)"
"Toledo-Atomchess","nanochess/Toledo-Atomchess","https://github.com/nanochess/Toledo-Atomchess.git","Toledo Atomchess is the world's smallest chess program in x86 assembly code"
"zxpoly","raydac/zxpoly","https://github.com/raydac/zxpoly.git","Emulator of ZXPoly platform, it is a multiCPU ZXSpectrum clone"
"virtual-nascom","tommythorn/virtual-nascom","https://github.com/tommythorn/virtual-nascom.git","SDL-based Nascom 2 emulator"
"TinyBasicPlus","BleuLlama/TinyBasicPlus","https://github.com/BleuLlama/TinyBasicPlus.git","A C implementation of Tiny Basic, with a focus on support for Arduino"
"tenth","aap/tenth","https://github.com/aap/tenth.git","A simple bare-metal forth for the PDP-10"
"rt0","lpsantil/rt0","https://github.com/lpsantil/rt0.git","A minimal C runtime for Linux i386 & x86_64"
"Cuis-Smalltalk-Dev","Cuis-Smalltalk/Cuis-Smalltalk-Dev","https://github.com/Cuis-Smalltalk/Cuis-Smalltalk-Dev.git","Active development of Cuis Smalltalk"
"gambatte","sinamas/gambatte","https://github.com/sinamas/gambatte.git",""
"reda4","phreda4/reda4","https://github.com/phreda4/reda4.git","Programming Language"
"unix","qrush/unix","https://github.com/qrush/unix.git","Mirror of the Restoration of 1st Edition UNIX kernel sources from pdf document."
"Cinoop","CTurt/Cinoop","https://github.com/CTurt/Cinoop.git","Multiplatform Game Boy emulator"
"plan9","0intro/plan9","https://github.com/0intro/plan9.git","Plan 9 from Bell Labs"
"plan9","brho/plan9","https://github.com/brho/plan9.git","UC Berkeley release of Plan 9 under the GPLv2"
"rainbowforth","flagxor/rainbowforth","https://github.com/flagxor/rainbowforth.git",""
"scratch-flash","LLK/scratch-flash","https://github.com/LLK/scratch-flash.git","Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website."
"scratch-html5","LLK/scratch-html5","https://github.com/LLK/scratch-html5.git","HTML 5 based Scratch project player"
"Scratch_1.4","LLK/Scratch_1.4","https://github.com/LLK/Scratch_1.4.git","Source Code repository for Scratch 1.4"
"PLASMA","dschmenk/PLASMA","https://github.com/dschmenk/PLASMA.git","Proto Language AsSeMbler for Apple"
"configfiles","ericscharff/configfiles","https://github.com/ericscharff/configfiles.git","Personal Config Files"
"apple2_dos33","Michaelangel007/apple2_dos33","https://github.com/Michaelangel007/apple2_dos33.git","Apple ][ DOS 3.3"
"apple2_hgr_font_tutorial","Michaelangel007/apple2_hgr_font_tutorial","https://github.com/Michaelangel007/apple2_hgr_font_tutorial.git","Apple ][ //e HGR Font Tutorial"
"Simpletron","Nzen/Simpletron","https://github.com/Nzen/Simpletron.git","Implementation of Deitel's Simpletron VM & compiler"
"xv6-book","mit-pdos/xv6-book","https://github.com/mit-pdos/xv6-book.git","Commentary for xv6-public"
"xv6-public","mit-pdos/xv6-public","https://github.com/mit-pdos/xv6-public.git","xv6 OS"
"MineCraft-One-Week-Challenge","Hopson97/MineCraft-One-Week-Challenge","https://github.com/Hopson97/MineCraft-One-Week-Challenge.git","I challenged myself to see if I could create Minecraft in just one week... So lets go!"
"atascii-html5","Kirkman/atascii-html5","https://github.com/Kirkman/atascii-html5.git","An experimental system for displaying Atari 8-bit ATASCII animations"
"4kindness","c64scene-ar/4kindness","https://github.com/c64scene-ar/4kindness.git","An 4k intro for the Commodore 64"
"chipdisk-nac-vol.1","c64scene-ar/chipdisk-nac-vol.1","https://github.com/c64scene-ar/chipdisk-nac-vol.1.git","Chipdisk Nacional Vol.1"
"abrash-black-book","jagregory/abrash-black-book","https://github.com/jagregory/abrash-black-book.git","Markdown source for Michael Abrash's Graphics Programming Black Book"
"cc65","cc65/cc65","https://github.com/cc65/cc65.git","cc65 - a freeware C compiler for 6502 based systems —"
"Z3","charcole/Z3","https://github.com/charcole/Z3.git","A Verilog implementation of the Infocom Z-Machine V3. With BIOS and benchmarks. Verified in hardware."
"skifree.js","basicallydan/skifree.js","https://github.com/basicallydan/skifree.js.git",":ski: The classic PC Game SkiFree, but in JS."
"viw","lpan/viw","https://github.com/lpan/viw.git","VI Worsened, a lightweight and fun VI clone."
"Atari-Font-To-Code","kenjennings/Atari-Font-To-Code","https://github.com/kenjennings/Atari-Font-To-Code.git","An over-engineered linux tool to convert an Atari 8-bit font to BASIC, C, and Assembly source."
"FUZIX","EtchedPixels/FUZIX","https://github.com/EtchedPixels/FUZIX.git","FuzixOS: Because Small Is Beautiful"
"e","hellerve/e","https://github.com/hellerve/e.git","A dead simple editor"
"block_the_knight_pygame","pyrex8/block_the_knight_pygame","https://github.com/pyrex8/block_the_knight_pygame.git","python pygame game created during PyWeek22 with atari 2600 like graphics and sound"
"triangle","esimov/triangle","https://github.com/esimov/triangle.git","Convert images to computer generated art using delaunay triangulation."
"GoTracer","DheerendraRathor/GoTracer","https://github.com/DheerendraRathor/GoTracer.git","A distributed Go implementation of Ray Tracing in One Weekend by Peter Shirley"
"nuklear","vurtun/nuklear","https://github.com/vurtun/nuklear.git","A single-header ANSI C gui library"
"imgui","ocornut/imgui","https://github.com/ocornut/imgui.git","Bloat-free Immediate Mode Graphical User interface for C++ with minimal dependencies"
"mal","kanaka/mal","https://github.com/kanaka/mal.git","mal - Make a Lisp"
"4.3BSD-Quasijarus","abs0/4.3BSD-Quasijarus","https://github.com/abs0/4.3BSD-Quasijarus.git","Unofficial 4.3BSD-Quasijarus repository for all changes from 0 through to 0c (plus any additional patches)"
"ChrysaLisp","vygr/ChrysaLisp","https://github.com/vygr/ChrysaLisp.git","Parallel OS, with GUI, Terminal, OO Assembler, Class libraries, C-Script compiler, Lisp interpreter and more..."
"OpenRCT2","OpenRCT2/OpenRCT2","https://github.com/OpenRCT2/OpenRCT2.git","An open source re-implementation of RollerCoaster Tycoon 2 🎢"
"pforth","philburk/pforth","https://github.com/philburk/pforth.git","Portable Forth in C"
"TerrariaMidiPlayer","trigger-death/TerrariaMidiPlayer","https://github.com/trigger-death/TerrariaMidiPlayer.git","A midi player for Terrarian instruments."
"textplayer","Enichan/textplayer","https://github.com/Enichan/textplayer.git","An MML and ABC song playing framework written in C#."
"Color","AshleyF/Color","https://github.com/AshleyF/Color.git","Fun playing around with colorForth and GreenArrays architecture."
"go-build-template","thockin/go-build-template","https://github.com/thockin/go-build-template.git","A Makefile/Dockerfile example for Go projects."
"wasm-forth","stefano/wasm-forth","https://github.com/stefano/wasm-forth.git","A Forth implementation compiling to WebAssembly."
"QLogo","jasonsikes/QLogo","https://github.com/jasonsikes/QLogo.git","QLogo is a cross-platform rewrite of the UCBLogo language and user interface with nearly full UCB compatibility that uses hardware-accelerated graphics."
"AppleIIMini","Cupcakus/AppleIIMini","https://github.com/Cupcakus/AppleIIMini.git","Apple II Mini for C.H.I.P"
"boardgame.io","google/boardgame.io","https://github.com/google/boardgame.io.git","State management and more for turn based games."
"golang-http-file-upload-download","zupzup/golang-http-file-upload-download","https://github.com/zupzup/golang-http-file-upload-download.git","A simple example of an HTTP upload and download in Go"
"invoicer","t0mk/invoicer","https://github.com/t0mk/invoicer.git","CLI tool that generates invoices in MarkDown. Can be piped to pandoc for pdf invoices."
